"id","title","format","materials","price","year","format","exhibition","height","width","length","fid","filename","uri","photo_credit","credit_year","uri"
60,"Immune from Change 03 (blue/white)","sculpture","glass;unframed",1800,2018,"sculpture",,15,10,0.75,,,,,,
61,"In Advance","sculpture","foam;putty;shellac;metal",,2014,"sculpture","Visibility Near Zero",12,20,3,,,,,,
62,"In Memory of Nothing","sculpture","glass",2600,2018,"sculpture","On Gurgling",24,21,2.75,,,,,,
63,"Iphigenia","sculpture","dog toy;tack",,2014,"sculpture","Visibility Near Zero",7,3,2,100,"_MG_1193_iphigenia_pdot.jpg","public://images/artwork/_MG_1193_iphigenia_pdot.jpg","Mario Gallucci",2015,"public://images/artwork"
64,"is that blood?","sculpture","panty hose;varathane",,2015,"sculpture","Personal Effects",30,13,1,,,,,,
65,"JRL","sculpture","chair;wax;plastic bag",2000,2016,"sculpture","Property",31,19,18,,,,,,
66,"Juggernaut","sculpture","cast plastic;shotgun residue;paint",,2008,"sculpture","Antistatic",18,12,12,,,,,,
67,"Julia","sculpture","wax;steel",2600,2017,"sculpture","My Enemy",13,8,8,,,,,,
68,"Kakistocracy","sculpture","glass",1800,2017,"sculpture","Extinction Anxiety",1.5,7.75,6.5,,,,,,
69,"kakistocracy 2","sculpture","glass",1800,2017,"sculpture","Extinction Anxiety",1.5,7.75,6.5,,,,,,
70,"kakistocracy 3","sculpture","glass",1800,2017,"sculpture","Extinction Anxiety",1.5,7.75,6.5,,,,,,
71,"Known World","digital image",,,2012,"digital image","Known World",,,,,,,,,
72,"Known World","digital image",,,2012,"digital image","Known World",,,,,,,,,
73,"Leave When I Ask","sculpture","sterling plated dish;spoon;tarnish;wax;hanky",,2010,"sculpture","Slipping Underwater",3,14,14,,,,,,
74,"Linked to a Mistake","sculpture","desk lamps;concrete;wax",,2014,"sculpture","Property",12,24,15,,,,,,
75,"loos figment","sculpture","copper;paint",,2015,"sculpture","Personal Effects",1.75,10,13.5,,,,,,
76,"Make Rotten 01","sculpture","vegetable broth container;paint;epoxy",,2015,"sculpture","Personal Effects",3,10,9,,,,,,
77,"Make Rotten 02","sculpture",,1800,2015,"sculpture",,5,3,2,,,,,,
78,"Manders","sculpture",,1200,2014,"sculpture","Visibility Near Zero",18,14,6,,,,,,
79,"Marguerite Anzieu","photo on glass",,1800,2015,"photo on glass",,15,15,,,,,,,
80,"miss u ralph","sculpture","plastic earplug container;dead fly",,2016,"sculpture","Property",10,6,10,,,,,,
81,"Model# DBM-1968","sculpture","leaf blower;wax;concrete",2400,2016,"sculpture","Property",24,36,24,,,,,,
82,"More Than Simply Made","sculpture","melamine",,2009,"sculpture","Call + Response",3,28,28,,,,,,
83,"Mouth Verb 2","sculpture","glass",400,2017,"sculpture","Extinction Anxiety",1.25,3.125,2.5,,,,,,
84,"Mouth Verb 3","sculpture","glass",400,2017,"sculpture","Extinction Anxiety",1.25,3.25,2.5,,,,,,
85,"Mouth Verb 4","sculpture","glass",200,2017,"sculpture","Extinction Anxiety",1,2.5,1.75,,,,,,
86,"Mouth Verb 6","sculpture","glass",200,2017,"sculpture","Extinction Anxiety",1,2.5,1.75,,,,,,
87,"Mouth Verb 7","sculpture","glass",400,2017,"sculpture","Extinction Anxiety",1.625,2.75,1.875,,,,,,
88,"Mouth Verb 8","sculpture","glass",400,2017,"sculpture","Extinction Anxiety",1.625,2.75,1.875,,,,,,
89,"Mouth Verb 9 (ed 4)","sculpture","glass;stainless screw",400,2017,"sculpture","Extinction Anxiety",2,2.25,1.5,,,,,,
90,"Muffles 01 (White)","sculpture","glass;framed",1800,2017,"sculpture","My Enemy",15,10,1.25,,,,,,
91,"Muffles 02 (White)","sculpture","glass;framed",1800,2017,"sculpture","My Enemy",15,10,1.25,,,,,,
92,"Muffles 03 (White)","sculpture","glass;framed",1800,2017,"sculpture","My Enemy",15,10,1.25,,,,,,
93,"multiplied by loss","sculpture","plastic cap;paint",,2015,"sculpture","Personal Effects",1,1.25,1.25,,,,,,
94,"Murder is Everywhere","sculpture","glove;wax",1000,2017,"sculpture","Extinction Anxiety",5,12,5,,,,,,
95,"My Struggle","digital image",,,2011,"digital image",,17,83,,,,,,,
96,"NDE","video","ballast",1000,2016,"video","Property",,,,,,,,,
97,"Never to be seen or heard from flesh, jade, gray, orange, mink (3 each for total of 15)","sculpture","glass",2400,2016,"sculpture",,3,3.5,8,,,,,,
98,"No Social Function","sculpture","road sign;paint;birch ply",2000,2016,"sculpture","Property",36,48,26,,,,,,
99,"Not My Problem","sculpture","cast bronze",,2010,"sculpture","Hold",,,,,,,,,
100,"OR (part one)","sculpture","coffee mugs",1200,2014,"sculpture",,5,7,3.5,,,,,,
101,"OR (part two)","sculpture","52 oz big gulp;epoxy;paint",2400,2016,"sculpture","Property",8,11.5,6,,,,,,
102,"Orthonormal","sculpture","orthodontic braces",1100,2018,"sculpture","On Gurgling",3,4,,,,,,,
103,"Party Favor","sculpture","white bronze",,2008,"sculpture","Antistatic",,,,,,,,,
104,"passing resemblance","sculpture","siicone;hair;doll body",,2014,"sculpture",,24,22,22,,,,,,
105,"Perfect Experience 01","video, HD, 1:41 loop",,,2010,"video, HD, 1:41 loop","Hold",,,,,,,,,
106,"Perversion of etiquette","sculpture","laundry basket;flocking",,2014,"sculpture",,30,20,12,,,,,,
107,"Phantom limb","sculpture","ficus trees;roofing tar;rope",6000,2016,"sculpture","Property",150,120,120,,,,,,
108,"Phase Bubbling","sculpture","strainer;paint",,2014,"sculpture","Visibility Near Zero",,,,,,,,,
109,"phobophobia","sculpture","glass",2200,2015,"sculpture","Personal Effects",4,4,10,,,,,,
110,"Plush","sculpture","raffia",,2006,"sculpture",,10,8,5,,,,,,
111,"Pollen from Hazelnut","sculpture","butterscotch candy",1200,2016,"sculpture","Property",0.5,132,84,,,,,,
112,"popular delusion_01","sculpture","white birch",,2012,"sculpture","Known World",54,75,6,,,,,,
113,"popular delusion_02","sculpture","concrete;bedspread",,2014,"sculpture",,15,42,35,,,,,,
114,"Pressed into Service edition 3","sculpture","cast glass",3200,2016,"sculpture","Property",12,5,7,,,,,,
115,"Read More","sculpture","trash can;paint",500,2016,"sculpture","Property",22,15,15,,,,,,
116,"Separation Anxiety_01 (mattress folded)","sculpture","mattress;cord",,2014,"sculpture","Visibility Near Zero",42,40,40,,,,,,
117,"Separation Anxiety_02 (pillow, concrete, wax) edition 2","sculpture","pillow;concrete;wax",2400,2013,"sculpture","Visibility Near Zero",,,,,,,,,
118,"Separation Anxiety_04 (concrete)","sculpture","pillow;concrete;wax",2200,2014,"sculpture",,16,30,20,,,,,,
119,"Separation Anxiety_06 (glass piillow edition 10)","sculpture","glass",5700,2014,"sculpture",,16,16,6,,,,,,
120,"Sharon","image","altered photo;framed",1200,2018,"image","On Gurgling",9.5,7.25,1.25,,,,,,
121,"she chewed ice in her sleep","sculpture","popsicle stick;paint",,2015,"sculpture","Personal Effects",3.5,0.75,,,,,,,
122,"she has a speech impediment","sculpture","straw",,2015,"sculpture","Personal Effects",,,,,,,,,
123,"Skater","digital image",,,2004,"digital image",,15,10,,,,,,,
124,"Skater","digital image",,,2004,"digital image",,15,10,,,,,,,
125,"Skater","digital image",,,2004,"digital image",,15,10,,,,,,,
126,"Slipping Underwater","sculpture","wax",,2010,"sculpture","Slipping Underwater",8,18,8,,,,,,
127,"soft crush","sculpture","chair;exercise ball;rope;flocking",,2014,"sculpture","Visibility Near Zero",23,25,20,,,,,,
128,"Something's Wrong 01 (flesh) edition 10","sculpture","glass",2200,2015,"sculpture",,7.5,5,3,,,,,,
129,"Something's Wrong 02 (brown) edition 10","sculpture","glass",2200,2015,"sculpture",,7.5,5,3,,,,,,
130,"Something's Wrong 03 (black) edition 10","sculpture","glass",2200,2015,"sculpture",,7.5,5,3,,,,,,
131,"strangled with the entrails (editino 2)",,,,2014,,,,,,,,,,,
132,"Such a Disappointing Party","wall mounted object","candy alphabet",,2008,"wall mounted object","Antistatic",30,94,0.5,,,,,,
133,"Such a Disappointing Party","wall mounted object","candy alphabet",,2008,"wall mounted object","Antistatic",30,94,0.5,,,,,,
134,"Superfund","sculpture","cook pan;paint",,2010,"sculpture","Swimming Through Nitroglycerin",12,8,4,,,,,,
135,"Tangled in Phrases and Cushions (ed 3)","sculpture","glass",1000,2017,"sculpture","My Enemy",4,3,2.5,,,,,,
136,"The collapsed heroon","image","digital print framed",1100,2018,"image","On Gurgling",13.25,24.25,,,,,,,
137,"The Night After Dawn 01","image",,675,2017,"image","Extinction Anxiety",12,9,,,,,,,
138,"The Night After Dawn 02","image",,675,2017,"image","Extinction Anxiety",12,9,,,,,,,
